distance_bin,P_t_dB,MCS,numerology,protocol_type,beta,PDR,PIR,cumulative_PDR,cumulative_PIR
0,23,4,0,NRV2X,0.05,0.9989636585232057,0.10010374165946401,0.9989636585232057,0.10010374165946401
0,23,4,0,NRV2X,0.1,0.99864915569451,0.10013526715541562,0.99864915569451,0.10013526715541562
0,23,4,0,NRV2X,0.15,0.9982306424881134,0.10017724936869063,0.9982306424881134,0.10017724936869063
0,23,4,0,SPC6G,0.05,0.9997424447621226,0.10002576215896673,0.9997424447621226,0.10002576215896673
0,23,4,0,SPC6G,0.1,0.9994120002910464,0.10005883456560281,0.9994120002910464,0.10005883456560281
0,23,4,0,SPC6G,0.15,0.9989815073154429,0.10010195310694932,0.9989815073154429,0.10010195310694932
0,23,11,0,NRV2X,0.05,0.9997737927745589,0.10002262584067276,0.9997737927745589,0.10002262584067276
0,23,11,0,NRV2X,0.1,0.9997435653473893,0.1000256500428209,0.9997435653473893,0.1000256500428209
0,23,11,0,NRV2X,0.15,0.9997087010174986,0.1000291383862324,0.9997087010174986,0.1000291383862324
0,23,11,0,SPC6G,0.05,0.9999699147838942,0.10000300861212533,0.9999699147838942,0.10000300861212533
0,23,11,0,SPC6G,0.1,0.9999363251329058,0.10000636789218412,0.9999363251329058,0.10000636789218412
0,23,11,0,SPC6G,0.15,0.9998985457498382,0.10001014645441711,0.9998985457498382,0.10001014645441711
25,23,4,0,NRV2X,0.05,0.9959271846876071,0.10040894709723888,0.9974454216054064,0.10025634437835144
25,23,4,0,NRV2X,0.1,0.990845236819351,0.10092393472163586,0.9947471962569305,0.10052960093852574
25,23,4,0,NRV2X,0.15,0.981375110928864,0.10189783589004084,0.9898028767084888,0.10103754262936573
25,23,4,0,SPC6G,0.05,0.9989866452814776,0.10010143826479652,0.9993645450218,0.10006360021188163
25,23,4,0,SPC6G,0.1,0.9960062151459976,0.10040097991290316,0.9977091077185221,0.10022990723925299
25,23,4,0,SPC6G,0.15,0.9892401178385387,0.10108769165012953,0.9941108125769909,0.10059482237853942
25,23,11,0,NRV2X,0.05,0.9981979418532261,0.10018053114229311,0.9989858673138925,0.10010157849148293
25,23,11,0,NRV2X,0.1,0.9961848288351121,0.10038297824404224,0.9979641970912507,0.10020431414343156
25,23,11,0,NRV2X,0.15,0.9930926784838597,0.10069553644546908,0.9964006897506792,0.10036233741585074
25,23,11,0,SPC6G,0.05,0.9997601650132443,0.10002398925213754,0.9998650398985692,0.10001349893213143
25,23,11,0,SPC6G,0.1,0.999051390497345,0.10009495102170698,0.9994938578151253,0.10005065945694555
25,23,11,0,SPC6G,0.15,0.9975890940448373,0.10024167324698664,0.9987438198973377,0.10012590985070188
50,23,4,0,NRV2X,0.05,0.9928882483303483,0.10071626909489673,0.9959263638470537,0.10040965261719988
50,23,4,0,NRV2X,0.1,0.9830923749086654,0.1017198409348771,0.9908622558075089,0.10092634760397619
50,23,4,0,NRV2X,0.15,0.9632685736680582,0.10381320717150266,0.9809581090283452,0.10196276414341138
50,23,4,0,SPC6G,0.05,0.998228498029125,0.10017746457593353,0.9989858626909084,0.10010155499989892
50,23,4,0,SPC6G,0.1,0.9926076769438605,0.10074473764689185,0.9960086307936349,0.1004015173751326
50,23,4,0,SPC6G,0.15,0.9786962222020263,0.10217675079505682,0.988972615785336,0.1011221318507119
50,23,11,0,NRV2X,0.05,0.9968507771887416,0.10031591717469887,0.9982741706055088,0.10017302471922158
50,23,11,0,NRV2X,0.1,0.9928902398437571,0.10071606708082474,0.9962728780087527,0.10037489845589596
50,23,11,0,NRV2X,0.15,0.9865370618672483,0.10136466623030563,0.9931128137895356,0.10069644702066904
50,23,11,0,SPC6G,0.05,0.9995806261977506,0.10004195497504235,0.9997702353316297,0.10002298427976841
50,23,11,0,SPC6G,0.1,0.9982300193647323,0.10017731190216,0.9990725783316611,0.1000928769386837
50,23,11,0,SPC6G,0.15,0.9952908157327968,0.10047314656106177,0.9975928185091574,0.10024165542082185
75,23,4,0,NRV2X,0.05,0.9898231248743795,0.10102815087563367,0.9944005541038852,0.10056427718180833
75,23,4,0,NRV2X,0.1,0.9753353107796681,0.10252884202465873,0.9869805195505487,0.10132697120914683
75,23,4,0,NRV2X,0.15,0.94717705771994,0.10557688151856384,0.9725128462012439,0.1028662934871995
75,23,4,0,SPC6G,0.05,0.9974620526112065,0.10025444049547044,0.998604910170983,0.1001397763737918
75,23,4,0,SPC6G,0.1,0.989192122763583,0.10109259637108939,0.9943045037861219,0.10057428712412181
75,23,4,0,SPC6G,0.15,0.969254869289786,0.10317203778741316,0.9840431791614486,0.10163460833488722
75,23,11,0,NRV2X,0.05,0.9952834997105118,0.10047388510819884,0.9975265028817596,0.1002482398164659
75,23,11,0,NRV2X,0.1,0.989390745000203,0.10107230182346157,0.9945523447566154,0.10054924929778736
75,23,11,0,NRV2X,0.15,0.9800969024460868,0.10203072752339487,0.9898588359536734,0.1010300171463505
75,23,11,0,SPC6G,0.05,0.9993714876407994,0.10006289076354223,0.9996705484089221,0.10003296090071187
75,23,11,0,SPC6G,0.1,0.9973553154971121,0.10026516974059238,0.9986432626230238,0.10013595013916088
75,23,11,0,SPC6G,0.15,0.993023299372374,0.10070257169514911,0.9964504387249615,0.10035688448940366
100,23,4,0,NRV2X,0.05,0.9868660382614646,0.10133087584629756,0.9928936509354009,0.10071759691470616
