distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
0.0,23,4,0,0,6,0.9990476190476191,0.10009532888465206,0.9990476190476191,0.10009532888465206
0.0,23,4,0,2,6,0.9985135135135135,0.1001488699418054,0.9985135135135135,0.1001488699418054
0.0,23,11,0,0,6,1.0,0.1,1.0,0.1
0.0,23,11,0,2,6,0.9994154705462103,0.10005848713283079,0.9994154705462103,0.10005848713283079
10.0,23,4,0,0,4,0.9980694980694981,0.10019342359767892,0.9980694980694981,0.10019342359767892
10.0,23,4,0,0,6,0.9962014326025613,0.10038130515306679,0.9976245258250902,0.10023831701885942
10.0,23,4,0,2,4,0.9992555262856488,0.10007450283683879,0.9992555262856488,0.10007450283683879
10.0,23,4,0,2,6,0.9968604157827747,0.10031494722505958,0.9976869646481441,0.10023190858343249
10.0,23,11,0,0,4,1.0,0.1,1.0,0.1
10.0,23,11,0,0,6,0.9995655007603736,0.10004346881112802,0.9997827503801868,0.10002173440556401
10.0,23,11,0,2,4,0.9997826795610127,0.10002173676774263,0.9997826795610127,0.10002173676774263
10.0,23,11,0,2,6,0.9982093439687449,0.10017938682322244,0.9988124072574776,0.10011893697802662
20.0,23,4,0,0,2,1.0,0.1,1.0,0.1
20.0,23,4,0,0,4,0.9980694980694981,0.10019342359767892,0.9980694980694981,0.10019342359767892
20.0,23,4,0,0,6,0.9901021080368907,0.1009996839601457,0.9951170532290238,0.10049210599928819
20.0,23,4,0,2,2,1.0,0.1,1.0,0.1
20.0,23,4,0,2,4,0.997881113274539,0.10021233859397419,0.9985683197800939,0.1001434207154065
20.0,23,4,0,2,6,0.9902655318281434,0.10098301595470921,0.9952131537081438,0.10048227770719138
20.0,23,11,0,0,2,1.0,0.1,1.0,0.1
20.0,23,11,0,0,4,0.9989452589389305,0.10010558547143913,0.9994726294694652,0.10005279273571957
20.0,23,11,0,0,6,0.9970334723206487,0.10029753541497927,0.9988663243603408,0.1001136680753691
20.0,23,11,0,2,2,1.0,0.1,1.0,0.1
20.0,23,11,0,2,4,0.9997283199304499,0.10002717538996686,0.9997554997457313,0.10002445607885474
20.0,23,11,0,2,6,0.9981476907878488,0.1001855746628727,0.9985908351009347,0.10014114953964198
30.0,23,4,0,0,4,0.9961389961389961,0.10038759689922482,0.9974259974259975,0.10025814803152755
30.0,23,4,0,0,6,0.9856305292362456,0.10145789627426509,0.9927454222308292,0.1007335535680324
30.0,23,4,0,2,4,0.9969075707250029,0.10031020220588235,0.9980147367617302,0.10019901454556511
30.0,23,4,0,2,6,0.9850462757143434,0.10151807327780742,0.9926714342096937,0.1007412265998454
30.0,23,11,0,0,4,0.9965178854067743,0.10034942820838628,0.9984877147819016,0.10015167122660847
30.0,23,11,0,0,6,0.9957533815665304,0.1004264729110725,0.9980880886618881,0.10019186928429495
