distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PDR,cumulative_PIR
0.0,23,4,0,0,4,0.9985441179980429,0.10014580046847364,0.9985441179980429,0.10014580046847364
0.0,23,4,0,2,4,0.9990071424953143,0.10009938442504082,0.9990071424953143,0.10009938442504082
0.0,23,11,0,0,4,0.9978367716998839,0.10021679180016897,0.9978367716998839,0.10021679180016897
0.0,23,11,0,2,4,0.999426431097863,0.10005738980722242,0.999426431097863,0.10005738980722242
10.0,23,4,0,0,4,0.9936869565217391,0.10063531511979978,0.996115537259891,0.10039055779413672
10.0,23,4,0,2,4,0.9964068321835688,0.1003606125229548,0.9977069873394415,0.10022999847399781
10.0,23,11,0,0,4,0.9942150963957385,0.10058185634328358,0.9960259340478113,0.10039932407172628
10.0,23,11,0,2,4,0.9981666042846902,0.10018367632291442,0.9987965176912765,0.10012053306506842
20.0,23,4,0,0,4,0.9857498610238588,0.10144561409943698,0.9926603118478803,0.1007422432292368
20.0,23,4,0,2,4,0.9924526562617028,0.10076047393199854,0.995955543646862,0.10040682362666471
20.0,23,11,0,0,4,0.9893836746315471,0.10107302410992446,0.993811847575723,0.10062389075112567
20.0,23,11,0,2,4,0.9966707126755678,0.10033404085041234,0.9980879160193736,0.10019170232684972
30.0,23,4,0,0,4,0.9761451897046495,0.10244377686300624,0.9885315313120726,0.10116762663767916
30.0,23,4,0,2,4,0.9888122713200113,0.101131431011172,0.9941697255651493,0.10058797547279154
30.0,23,11,0,0,4,0.9809423248739211,0.10194279262325931,0.9905944669002726,0.10095361621915908
30.0,23,11,0,2,4,0.9946781858149609,0.10053502874205278,0.9972354834682705,0.10027753393065049
40.0,23,4,0,0,4,0.9660389842165287,0.1035154912315484,0.9840330218929637,0.101637199556453
40.0,23,4,0,2,4,0.9836443010872286,0.10166276558454042,0.9920646406695651,0.10080293349514131
40.0,23,11,0,0,4,0.970603082868408,0.10302872694827177,0.9865961900938996,0.10136863836498163
40.0,23,11,0,2,4,0.9920462934298574,0.10080174752154397,0.9961976454605879,0.10038237664882918
50.0,23,4,0,0,4,0.9508334438696555,0.10517089049058359,0.978499758889079,0.10222614804547477
50.0,23,4,0,2,4,0.9773792593581377,0.10231442814294195,0.9896170771176606,0.10105484926977476
50.0,23,11,0,0,4,0.9609826880021866,0.10406014723105238,0.9823272730786142,0.10181722317599341
50.0,23,11,0,2,4,0.9899834083697513,0.10101179388922725,0.9951619392787818,0.10048727952222886
60.0,23,4,0,0,4,0.9353265150967867,0.10691453560434144,0.9723321526330373,0.10289591769674145
60.0,23,4,0,2,4,0.9715259005296587,0.1029308636501423,0.9870326233193746,0.10132285132411298
60.0,23,11,0,0,4,0.9465926914504279,0.10564205798670791,0.9772223328460161,0.10236362814895263
60.0,23,11,0,2,4,0.9882420181464728,0.1011897876873906,0.9941733791170233,0.10058763783153768
70.0,23,4,0,0,4,0.9085098276054235,0.11007035583046128,0.9643543620045856,0.10379272246345642
70.0,23,4,0,2,4,0.9577857095203149,0.10440748802786243,0.9833767590944922,0.10170843091208166
70.0,23,11,0,0,4,0.9246892258934837,0.10814444161320763,0.9706556944769495,0.1030862298319845
70.0,23,11,0,2,4,0.9843457652488462,0.10159031869733258,0.9929449273835012,0.10071297293976204
80.0,23,4,0,0,4,0.8921052287325196,0.11209439960583736,0.9563266805299117,0.10471513103483208
80.0,23,4,0,2,4,0.9518428958251943,0.105059354268023,0.9798729965090147,0.10208075572940847
80.0,23,11,0,0,4,0.9139212380242847,0.10941861928515859,0.964351865982209,0.10378982866011495
80.0,23,11,0,2,4,0.9810566895891988,0.10193090884673886,0.9916240120730231,0.10084829915164835
